name,location,quantity_approx,notes
Agarose,Cabinet 2,~500 g,molecular biology grade
1X TAE buffer,Cabinet 3,~2 L,electrophoresis running buffer
SYBR Safe,Fridge 2 shelf B,~1 mL,light-sensitive DNA stain
DNA ladder,Freezer 2 shelf A,~50 lanes,1 kb ladder
6X loading dye,Fridge 1 shelf B,~5 mL,gel loading buffer
BCA reagent A,Cabinet 3,~500 mL,bicinchoninic acid
BCA reagent B,Cabinet 3,~25 mL,4% cupric sulfate
BSA standard,Fridge 2 shelf C,~10 mL,2 mg/mL stock for standard curve
TRIzol reagent,Fume hood cabinet,~200 mL,toxic; use in fume hood
Chloroform,Flammables cabinet,~500 mL,use in fume hood
Isopropanol,Cabinet 3,~1 L,
RNase-free water,Fridge 1 shelf C,~500 mL,DEPC-treated
